Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [70/1299] D_loss: 0.0821, G_loss: 1.3818
  Batch [80/1299] D_loss: -0.7249, G_loss: 2.6955
  Batch [90/1299] D_loss: -0.7767, G_loss: 0.5440
  Batch [100/1299] D_loss: -0.0503, G_loss: -0.0777
  Batch [110/1299] D_loss: -0.3235, G_loss: 0.9761
  Batch [120/1299] D_loss: 0.0699, G_loss: -1.4684
  Batch [130/1299] D_loss: -0.6682, G_loss: 0.9817
  Batch [140/1299] D_loss: 0.0966, G_loss: -0.8571
  Batch [150/1299] D_loss: -0.7039, G_loss: 3.1065
  Batch [160/1299] D_loss: -0.8108, G_loss: -0.6886
  Batch [170/1299] D_loss: -0.1141, G_loss: -0.2663
  Batch [180/1299] D_loss: -0.3538, G_loss: -0.9717
  Batch [190/1299] D_loss: -0.5540, G_loss: 0.1549
  Batch [200/1299] D_loss: -0.9965, G_loss: -0.3032
  Batch [210/1299] D_loss: -0.7234, G_loss: 0.8461
  Batch [220/1299] D_loss: -0.6276, G_loss: -0.9056
  Batch [230/1299] D_loss: -0.4546, G_loss: 0.1613
  Batch [240/1299] D_loss: -0.7209, G_loss: 0.8552
  Batch [250/1299] D_loss: -0.1190, G_loss: -1.1039
  Batch [260/1299] D_loss: -0.2671, G_loss: 0.7268
  Batch [270/1299] D_loss: -1.5983, G_loss: -1.9589
  Batch [280/1299] D_loss: -0.3447, G_loss: 1.2860
  Batch [290/1299] D_loss: -0.6402, G_loss: -0.8455
  Batch [300/1299] D_loss: -0.4931, G_loss: -1.4577
  Batch [310/1299] D_loss: -0.7952, G_loss: -1.0489
  Batch [320/1299] D_loss: -1.6975, G_loss: 1.9498
  Batch [330/1299] D_loss: -0.1230, G_loss: -1.5797
  Batch [340/1299] D_loss: -0.7092, G_loss: 1.9081
  Batch [350/1299] D_loss: -0.0551, G_loss: 0.7225
  Batch [360/1299] D_loss: -0.2359, G_loss: -1.9244
  Batch [370/1299] D_loss: -0.8898, G_loss: 3.5648
  Batch [380/1299] D_loss: -0.1246, G_loss: -0.1809
  Batch [390/1299] D_loss: -0.0549, G_loss: -0.4683
  Batch [400/1299] D_loss: -0.0309, G_loss: 0.8062
  Batch [410/1299] D_loss: -0.3326, G_loss: -0.7239
  Batch [420/1299] D_loss: -0.0496, G_loss: 1.4000
  Batch [430/1299] D_loss: -0.6856, G_loss: -1.1047
  Batch [440/1299] D_loss: -0.5213, G_loss: 0.2298
  Batch [450/1299] D_loss: -1.7951, G_loss: 1.1012
  Batch [460/1299] D_loss: -0.6434, G_loss: 0.8633
  Batch [470/1299] D_loss: -0.1001, G_loss: -1.7610
  Batch [480/1299] D_loss: -0.1319, G_loss: 0.2375
  Batch [490/1299] D_loss: -0.5466, G_loss: 0.0973
  Batch [500/1299] D_loss: -0.5779, G_loss: -0.7567
  Batch [510/1299] D_loss: -0.8172, G_loss: -3.1292
  Batch [520/1299] D_loss: -0.3328, G_loss: 0.7791
  Batch [530/1299] D_loss: -0.5490, G_loss: 0.3569
  Batch [540/1299] D_loss: -0.5388, G_loss: 0.1224
  Batch [550/1299] D_loss: -0.4886, G_loss: 2.0754
  Batch [560/1299] D_loss: -0.5989, G_loss: -1.6250
  Batch [570/1299] D_loss: -1.0757, G_loss: 0.5853
  Batch [580/1299] D_loss: -1.3316, G_loss: -0.9818
  Batch [590/1299] D_loss: -0.6741, G_loss: 0.7963
  Batch [600/1299] D_loss: -0.9969, G_loss: 1.0225
  Batch [610/1299] D_loss: 0.1004, G_loss: 0.5957
  Batch [620/1299] D_loss: -0.2005, G_loss: 0.1530
  Batch [630/1299] D_loss: -0.1510, G_loss: -1.4669
  Batch [640/1299] D_loss: 0.1909, G_loss: 1.1886
  Batch [650/1299] D_loss: -0.3222, G_loss: -0.2363
  Batch [660/1299] D_loss: 0.2523, G_loss: -1.0263
  Batch [670/1299] D_loss: -0.1356, G_loss: 1.6259
  Batch [680/1299] D_loss: -0.1143, G_loss: 0.1357
  Batch [690/1299] D_loss: 0.0887, G_loss: -0.5369
  Batch [700/1299] D_loss: -0.9222, G_loss: 2.4127
  Batch [710/1299] D_loss: -0.2322, G_loss: -1.0759
  Batch [720/1299] D_loss: -1.0395, G_loss: 3.2329
  Batch [730/1299] D_loss: -0.3516, G_loss: -2.6815
  Batch [740/1299] D_loss: -0.0069, G_loss: 0.4587
  Batch [750/1299] D_loss: -0.4417, G_loss: -0.0753
  Batch [760/1299] D_loss: -1.0776, G_loss: 0.0769
  Batch [770/1299] D_loss: -0.4321, G_loss: -0.0334
  Batch [780/1299] D_loss: -0.5518, G_loss: 0.4834
  Batch [790/1299] D_loss: -0.2142, G_loss: 0.8036
  Batch [800/1299] D_loss: -0.6472, G_loss: -0.8419
  Batch [810/1299] D_loss: -0.4158, G_loss: 1.0741
  Batch [820/1299] D_loss: -0.6742, G_loss: 0.3546
  Batch [830/1299] D_loss: -0.3565, G_loss: 0.2724
  Batch [840/1299] D_loss: -0.1236, G_loss: -1.0900
  Batch [850/1299] D_loss: -0.8429, G_loss: 0.5477
  Batch [860/1299] D_loss: -0.3685, G_loss: -0.2194
  Batch [870/1299] D_loss: -0.8356, G_loss: 0.1482
  Batch [880/1299] D_loss: -0.4806, G_loss: 0.1465
  Batch [890/1299] D_loss: -0.6016, G_loss: -2.0634
  Batch [900/1299] D_loss: -0.2002, G_loss: 1.6783
  Batch [910/1299] D_loss: -0.4118, G_loss: -0.8009
  Batch [920/1299] D_loss: -0.8547, G_loss: -0.9168
  Batch [930/1299] D_loss: -0.3425, G_loss: 0.8458
  Batch [940/1299] D_loss: -0.6315, G_loss: -1.4094
  Batch [950/1299] D_loss: -1.3133, G_loss: 1.1956
  Batch [960/1299] D_loss: -0.7365, G_loss: -0.8979
  Batch [970/1299] D_loss: -0.2453, G_loss: 3.5962
  Batch [980/1299] D_loss: -0.1915, G_loss: -0.4874
  Batch [990/1299] D_loss: 0.0870, G_loss: -1.3203
  Batch [1000/1299] D_loss: 0.0071, G_loss: 1.1525
  Batch [1010/1299] D_loss: 0.1262, G_loss: -0.6230
  Batch [1020/1299] D_loss: 0.1673, G_loss: 0.6389
  Batch [1030/1299] D_loss: -0.6227, G_loss: 2.5241
  Batch [1040/1299] D_loss: -0.2324, G_loss: -1.5787
  Batch [1050/1299] D_loss: -0.5020, G_loss: 2.1160
  Batch [1060/1299] D_loss: -0.0775, G_loss: -2.0326
  Batch [1070/1299] D_loss: -0.6204, G_loss: -1.4566
  Batch [1080/1299] D_loss: 0.0300, G_loss: 0.5772
  Batch [1090/1299] D_loss: -0.4652, G_loss: -0.0759
  Batch [1100/1299] D_loss: -0.9003, G_loss: 1.8252
  Batch [1110/1299] D_loss: -0.4512, G_loss: 0.1697
  Batch [1120/1299] D_loss: -0.0032, G_loss: 0.0092
  Batch [1130/1299] D_loss: -0.2047, G_loss: 2.3353
  Batch [1140/1299] D_loss: -0.4393, G_loss: -0.4679
  Batch [1150/1299] D_loss: -0.2464, G_loss: 0.7385
  Batch [1160/1299] D_loss: -0.7444, G_loss: -0.8180
  Batch [1170/1299] D_loss: -0.2944, G_loss: -0.3019
  Batch [1180/1299] D_loss: -0.0224, G_loss: 1.0283
  Batch [1190/1299] D_loss: -0.4438, G_loss: 0.4242
  Batch [1200/1299] D_loss: -0.4536, G_loss: 2.2012
  Batch [1210/1299] D_loss: -0.4893, G_loss: 0.0255
  Batch [1220/1299] D_loss: -0.5915, G_loss: 0.1531
  Batch [1230/1299] D_loss: -0.1065, G_loss: 0.7052
  Batch [1240/1299] D_loss: -1.2494, G_loss: -2.9460
  Batch [1250/1299] D_loss: -0.0682, G_loss: -0.0270
  Batch [1260/1299] D_loss: -1.1431, G_loss: 0.8710
  Batch [1270/1299] D_loss: -0.3082, G_loss: -2.0809
  Batch [1280/1299] D_loss: -0.3616, G_loss: 1.2836
  Batch [1290/1299] D_loss: -0.7251, G_loss: -2.1165

Epoch 3 Summary:
  Average D_loss: -0.2000
  Average G_loss: 0.1042

Epoch [4/100]
  Batch [0/1299] D_loss: -0.5386, G_loss: 1.5561
  Batch [10/1299] D_loss: -0.7168, G_loss: 0.1368
  Batch [20/1299] D_loss: -0.1985, G_loss: -0.7411
  Batch [30/1299] D_loss: -0.5275, G_loss: -0.5951
  Batch [40/1299] D_loss: -0.4417, G_loss: 0.2428
  Batch [50/1299] D_loss: -0.7697, G_loss: 0.7574
  Batch [60/1299] D_loss: -0.0113, G_loss: -0.5086
  Batch [70/1299] D_loss: -0.6177, G_loss: 0.9181
  Batch [80/1299] D_loss: -0.3386, G_loss: -2.2034
  Batch [90/1299] D_loss: -0.1562, G_loss: 0.3594
  Batch [100/1299] D_loss: -0.7614, G_loss: 0.5606
  Batch [110/1299] D_loss: -0.6067, G_loss: 0.2778
  Batch [120/1299] D_loss: -0.7232, G_loss: -0.3744
  Batch [130/1299] D_loss: -0.1712, G_loss: 1.0744
  Batch [140/1299] D_loss: -0.3855, G_loss: -2.5777
  Batch [150/1299] D_loss: -0.7427, G_loss: 2.3631
  Batch [160/1299] D_loss: -0.9261, G_loss: -2.6128
  Batch [170/1299] D_loss: -0.6244, G_loss: 1.4230
  Batch [180/1299] D_loss: -0.2631, G_loss: -1.8922
  Batch [190/1299] D_loss: -0.1776, G_loss: 0.1071
  Batch [200/1299] D_loss: -0.3805, G_loss: 2.2542
  Batch [210/1299] D_loss: 0.0276, G_loss: -1.2065
  Batch [220/1299] D_loss: -0.1618, G_loss: -0.1688
  Batch [230/1299] D_loss: -0.3227, G_loss: 0.1586
  Batch [240/1299] D_loss: -0.4626, G_loss: -0.3363
  Batch [250/1299] D_loss: -1.0009, G_loss: -1.2238
  Batch [260/1299] D_loss: -0.0371, G_loss: -0.8420
