Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [30/1299] D_loss: -0.5232, G_loss: 0.1309
  Batch [40/1299] D_loss: -0.7459, G_loss: -0.0144
  Batch [50/1299] D_loss: -0.4717, G_loss: -0.2258
  Batch [60/1299] D_loss: -0.6789, G_loss: 0.3560
  Batch [70/1299] D_loss: -0.7021, G_loss: 0.2201
  Batch [80/1299] D_loss: -0.7960, G_loss: 0.0582
  Batch [90/1299] D_loss: -0.9951, G_loss: -0.0448
  Batch [100/1299] D_loss: -0.8919, G_loss: -0.0202
  Batch [110/1299] D_loss: -0.6797, G_loss: 0.1185
  Batch [120/1299] D_loss: -0.7287, G_loss: 0.3118
  Batch [130/1299] D_loss: -0.7096, G_loss: 0.2372
  Batch [140/1299] D_loss: -0.5630, G_loss: 0.1413
  Batch [150/1299] D_loss: -0.7538, G_loss: 0.0539
  Batch [160/1299] D_loss: -0.7391, G_loss: -0.1164
  Batch [170/1299] D_loss: -0.8053, G_loss: 0.1557
  Batch [180/1299] D_loss: -0.5272, G_loss: 0.3063
  Batch [190/1299] D_loss: -0.8189, G_loss: -0.6323
  Batch [200/1299] D_loss: -0.3598, G_loss: 0.1589
  Batch [210/1299] D_loss: -0.8405, G_loss: -0.5462
  Batch [220/1299] D_loss: -1.0901, G_loss: 0.2477
  Batch [230/1299] D_loss: -0.7670, G_loss: 0.3243
  Batch [240/1299] D_loss: -1.2080, G_loss: -0.2571
